dataset_name,video_name,object_id,frame_idx,frame_name,is_prompt_frame,pred_iou_to_gt,gt_area_ratio,oracle_write,oracle_future_gain,oracle_gt_novelty,quality,mask_cosine,mask_change,centroid_shift,current_area_ratio,area_change,reference_temporal_gap,bank_fill_ratio
VOS-Endovis17,seq_1,1,96,00096,1,0.9685522592133295,0.02349090576171875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOS-Endovis17,seq_1,1,97,00097,0,0.8431905205422746,0.026114654541015626,0,0.019200287759304047,0.3100535273551941,0.87890625,0.8872718811035156,0.25987523794174194,0.032416924834251404,0.02764892578125,0.00421142578125,1.0,0.1666666716337204
VOS-Endovis17,seq_1,1,98,00098,0,0.8892778314250241,0.03979339599609375,1,0.11921398341655731,0.5524667203426361,0.90625,0.7323846817016602,0.494163453578949,0.0545983612537384,0.043212890625,0.01556396484375,1.0,0.3333333432674408
VOS-Endovis17,seq_1,1,99,00099,0,0.9412602944355996,0.07538375854492188,1,0.45607882738113403,0.8857355862855911,0.9453125,0.26611191034317017,0.8635831475257874,0.10245786607265472,0.07525634765625,0.03204345703125,1.0,0.5
VOS-Endovis17,seq_1,1,100,00100,0,0.9483035910993611,0.06682357788085938,0,-0.020592406392097473,0.4197336435317993,0.9296875,0.7888270020484924,0.40326976776123047,0.03033694252371788,0.06781005859375,0.0074462890625,1.0,0.6666666865348816
VOS-Endovis17,seq_1,1,101,00101,0,0.9103933222515875,0.0621337890625,0,-0.10402404516935349,0.49303144216537476,0.92578125,0.9162989854812622,0.226190447807312,0.019389702007174492,0.05950927734375,0.00830078125,1.0,0.8333333134651184
VOS-Endovis17,seq_1,1,102,00102,0,0.9350377072371434,0.07269287109375,0,-0.06771107017993927,0.43945133686065674,0.9375,0.9170997738838196,0.2158808708190918,0.0288848914206028,0.0721435546875,0.01263427734375,1.0,1.0
VOS-Endovis17,seq_1,1,103,00103,0,0.9175382278830555,0.0866180419921875,1,0.06573370099067688,0.2354344129562378,0.953125,0.8349578976631165,0.3372781276702881,0.023279944434762,0.08221435546875,0.01007080078125,1.0,1.0
VOS-Endovis17,seq_1,1,104,00104,0,0.916557699283768,0.08853073120117187,0,-0.006756856106221676,0.09734123945236206,0.94921875,0.9910548329353333,0.05214285850524902,0.004066776018589735,0.084228515625,0.00201416015625,1.0,1.0
VOS-Endovis17,seq_1,1,105,00105,0,0.9413641489147823,0.08506317138671875,0,-0.0011778991902247071,0.07957327365875244,0.95703125,0.9773273468017578,0.08876562118530273,0.005886106751859188,0.083984375,0.000244140625,1.0,1.0
VOS-Endovis17,seq_1,1,106,00106,0,0.9512592374401136,0.08668670654296876,0,-0.006470567546784878,0.11617088317871094,0.9609375,0.9630164504051208,0.12347352504730225,0.00928241852670908,0.0848388671875,0.0008544921875,1.0,1.0
VOS-Endovis17,seq_1,1,107,00107,0,0.9433062491281908,0.08378982543945312,0,-9.561503247823566e-06,0.14919495582580566,0.9453125,0.9330528378486633,0.1906614899635315,0.009163456968963146,0.08544921875,0.0006103515625,1.0,1.0
VOS-Endovis17,seq_1,1,108,00108,0,0.9021706310598182,0.0420684814453125,1,0.050130534917116165,0.9996026215085294,0.87890625,0.007877536118030548,0.9990552663803101,0.1671568900346756,0.04388427734375,0.04156494140625,1.0,1.0
VOS-Endovis17,seq_1,1,109,00109,0,0.8074772401682148,0.014281463623046876,1,0.09559386968612671,0.7963005155324936,0.83984375,0.4010741412639618,0.8099877834320068,0.10933981835842133,0.0157470703125,0.02813720703125,1.0,1.0
VOS-Endovis17,seq_1,1,110,00110,0,0.7862092034214173,0.01287689208984375,0,0.015314953401684761,0.3251623511314392,0.86328125,0.8887081742286682,0.2430555820465088,0.00896686501801014,0.01513671875,0.0006103515625,1.0,1.0
VOS-Endovis17,seq_1,1,111,00111,0,0.8448681441129132,0.015961456298828124,1,0.03174489364027977,0.5651198029518127,0.8828125,0.8474322557449341,0.32716047763824463,0.019101275131106377,0.0179443359375,0.0028076171875,1.0,1.0
VOS-Endovis17,seq_1,1,112,00112,0,0.8780499542807643,0.014846038818359376,0,0.00917524192482233,0.5398133993148804,0.90625,0.6588086485862732,0.554959774017334,0.02712639980018139,0.01495361328125,0.00299072265625,1.0,1.0
VOS-Endovis17,seq_1,1,113,00113,0,0.7992146473009415,0.014312744140625,1,0.049461375921964645,0.9987888881005347,0.87890625,0.18966814875602722,0.9047619104385376,0.06450723111629486,0.0145263671875,0.00042724609375,1.0,1.0
VOS-Endovis17,seq_1,1,114,00114,0,0.8763701439117143,0.018109130859375,0,0.0,0.6043089926242828,0.8828125,0.6179431080818176,0.5870646834373474,0.05026313662528992,0.0201416015625,0.005615234375,1.0,1.0
VOS-Endovis17,seq_1,1,115,00115,0,0.8552874716224064,0.040201568603515626,1,0.18308933079242706,1.0,0.86328125,7.944712706375867e-05,1.0,0.2510163187980652,0.04034423828125,0.02020263671875,1.0,1.0
VOS-Endovis17,seq_1,1,116,00116,0,0.7473518039762977,0.028717803955078124,0,0.002504408359527588,0.9723678976297379,0.828125,0.06016974523663521,0.970108687877655,0.15919291973114014,0.029052734375,0.01129150390625,1.0,1.0
VOS-Endovis17,seq_1,1,117,00117,0,0.661280909230533,0.022005462646484376,1,0.17135757207870483,0.8685298711061478,0.77734375,0.6518224477767944,0.5943060517311096,0.028736311942338943,0.0191650390625,0.0098876953125,1.0,1.0
VOS-Endovis17,seq_1,1,118,00118,0,0.8561413902053713,0.02080078125,1,0.06830240041017532,0.3020517826080322,0.80859375,0.8417713046073914,0.38129496574401855,0.02469441294670105,0.02203369140625,0.00286865234375,1.0,1.0
VOS-Endovis17,seq_1,1,119,00119,0,0.8711459403905447,0.021334075927734376,0,0.011947037652134895,0.16038775444030762,0.875,0.9815371036529541,0.09350651502609253,0.008933196775615215,0.02276611328125,0.000732421875,1.0,1.0
VOS-Endovis17,seq_1,1,120,00120,0,0.8355882352941176,0.020836639404296874,0,0.011478396132588387,0.28821903467178345,0.8828125,0.9387986660003662,0.2034313678741455,0.009240791201591492,0.02197265625,0.00079345703125,1.0,1.0
VOS-Endovis17,seq_1,1,121,00121,0,0.8154759380962476,0.014813232421875,0,-0.02431378699839115,0.9105930104851723,0.8359375,0.41599041223526,0.7632575631141663,0.04860604926943779,0.01788330078125,0.00408935546875,1.0,1.0
VOS-Endovis17,seq_1,1,122,00122,0,0.734140435835351,0.01275482177734375,0,-0.06635875999927521,1.0,0.765625,0.476093053817749,0.7203166484832764,0.03732316941022873,0.01171875,0.00616455078125,1.0,1.0
VOS-Endovis17,seq_1,1,123,00123,0,1.0,0.0,0,-0.06212456151843071,1.0,3.3068166260807885e-18,0.0,1.0,1.0,0.0,0.01171875,1.0,1.0
